??L,??R,BL (MG),BR (MG)
43.60249944,41.84903303,2.158539576,2.071734309
26.99335074,27.3313438,1.336304492,1.353036822
37.3882372,36.32997004,1.850902832,1.798513368
19.57654814,19.57967534,0.969136047,0.969290858
60.46937459,60.75266214,2.993533396,3.007557532
81.7451762,81.84586967,4.046790901,4.051775726
123.7991344,160.841596,6.128670022,7.962455247
32.86564025,33.96111982,1.627011894,1.681243555
15.63972645,16.44056572,0.774243884,0.813889392
19.43391663,20.07369909,0.96207508,0.99374748
251.5960454,254.5963625,12.45524977,12.60378032
89.58865431,84.04963576,4.435081897,4.160873057
16.08026171,14.12270467,0.79605256,0.699143795
16.08320768,14.13656197,0.7961984,0.6998298
80.31302105,80.33291271,3.975892131,3.976876867
45.78783997,43.87777915,2.266724751,2.172167284
29.50114807,30.27728424,1.460452875,1.498875458
58.63750792,59.57459164,2.902846927,2.94923721
123.7438171,123.3187719,6.125931541,6.104889698
11.87691347,11.34878374,0.587966013,0.561820977
24.83628206,20.94468963,1.229518914,1.036865823
